time	V(vin)	V(vout)	V(n004)
4.019654460142965e-005	4.645465e+000	-1.446953e+000	3.726023e-001
4.020928026252221e-005	4.645243e+000	-1.446999e+000	3.841710e-001
4.022178005362283e-005	4.645025e+000	-1.447043e+000	3.885109e-001
4.023545724643127e-005	4.644786e+000	-1.447091e+000	3.873490e-001
4.024886518652106e-005	4.644552e+000	-1.447139e+000	3.824181e-001
4.026313393611569e-005	4.644303e+000	-1.447190e+000	3.750197e-001
4.027728534123677e-005	4.644056e+000	-1.447240e+000	3.671847e-001
4.029203536696883e-005	4.643799e+000	-1.447292e+000	3.596887e-001
4.030638109810310e-005	4.643548e+000	-1.447343e+000	3.537680e-001
4.032102944093435e-005	4.643292e+000	-1.447394e+000	3.494179e-001
4.033535660476727e-005	4.643042e+000	-1.447445e+000	3.467978e-001
4.034983335183141e-005	4.642788e+000	-1.447496e+000	3.455842e-001
4.036384810148386e-005	4.642543e+000	-1.447546e+000	3.455373e-001
4.040012263163261e-005	4.641908e+000	-1.447673e+000	3.480755e-001
4.041579466976643e-005	4.641634e+000	-1.447729e+000	3.496623e-001
4.043345026604828e-005	4.641325e+000	-1.447791e+000	3.514228e-001
4.045002527093512e-005	4.641034e+000	-1.447849e+000	3.529109e-001
4.046885882197544e-005	4.640704e+000	-1.447915e+000	3.543525e-001
4.048804804037591e-005	4.640367e+000	-1.447983e+000	3.555659e-001
4.054398819688899e-005	4.639385e+000	-1.448179e+000	3.582461e-001
4.059758291958832e-005	4.638442e+000	-1.448367e+000	3.605276e-001
4.087655839213637e-005	4.633518e+000	-1.449337e+000	3.734728e-001
4.099417700079286e-005	4.631432e+000	-1.449743e+000	3.789482e-001
4.099999999999980e-005	4.631329e+000	-1.449763e+000	3.792195e-001
